repo_name,is_opt_final,is_opt_arch_keyword,is_opt_arch_llm,is_opt_arch_final
openmp-tutorial,文件不存在,文件不存在,文件不存在,文件不存在
openmpt,9,1,1,0
openmptcprouter,文件不存在,文件不存在,文件不存在,文件不存在
openmv,2,0,0,0
openmw,33,4,4,0
opennav_coverage,文件不存在,文件不存在,文件不存在,文件不存在
opennav_docking,文件不存在,文件不存在,文件不存在,文件不存在
opennero,1,0,0,0
opennn,4,0,0,0
opennox,0,0,0,0
opennurbs,文件不存在,文件不存在,文件不存在,文件不存在
openocd,17,6,6,3
openocd-esp32,5,3,3,2
openoffice,0,0,0,0
openomf,1,0,0,0
openonload,文件不存在,文件不存在,文件不存在,文件不存在
openpassport,文件不存在,文件不存在,文件不存在,文件不存在
openpbs,0,0,0,0
openpgl,1,0,0,0
openpgp,0,0,0,0
openpixelcontrol,0,0,0,0
openpmix,5,1,1,0
openpnp-capture,文件不存在,文件不存在,文件不存在,文件不存在
openpose,0,0,0,0
openprocmon,文件不存在,文件不存在,文件不存在,文件不存在
openr,4,0,0,0
openrasp,文件不存在,文件不存在,文件不存在,文件不存在
openrave,11,0,0,0
openrazer,0,0,0,0
openrc,2,0,0,0
openreil,文件不存在,文件不存在,文件不存在,文件不存在
openresty,文件不存在,文件不存在,文件不存在,文件不存在
openrov-electronics,文件不存在,文件不存在,文件不存在,文件不存在
openrsync,1,0,0,0
openrw,1,1,1,0
opensbi,5,3,3,1
openscad,7,1,1,1
opensesame,文件不存在,文件不存在,文件不存在,文件不存在
opensgx,文件不存在,文件不存在,文件不存在,文件不存在
opensift,2,0,0,0
opensim-core,5,0,0,0
opensim-creator,1,0,0,0
opensips,5,1,1,0
openslam_gmapping,0,0,0,0
openslide,1,0,0,0
opensmalltalk-vm,1,0,0,0
opensmile,文件不存在,文件不存在,文件不存在,文件不存在
opensource_slam_noted,文件不存在,文件不存在,文件不存在,文件不存在
openspades,0,0,0,0
opensplice,文件不存在,文件不存在,文件不存在,文件不存在
openspy-core,0,0,0,0
opensr,文件不存在,文件不存在,文件不存在,文件不存在
openss7,0,0,0,0
opensse,0,0,0,0
openssh-portable,0,0,0,0
openssh-sk-winhello,0,0,0,0
openssl,14,5,5,1
openssl-cmake,文件不存在,文件不存在,文件不存在,文件不存在
openssl-example,文件不存在,文件不存在,文件不存在,文件不存在
openssl_examples,文件不存在,文件不存在,文件不存在,文件不存在
openssl_for_ios_and_android,文件不存在,文件不存在,文件不存在,文件不存在
openstream-server,文件不存在,文件不存在,文件不存在,文件不存在
opensurge,2,0,0,0
opentelemetry-cpp,0,0,0,0
opentelemetry-dotnet-instrumentation,0,0,0,0
opentelemetry-ebpf-profiler,文件不存在,文件不存在,文件不存在,文件不存在
opentelemetry-go-instrumentation,文件不存在,文件不存在,文件不存在,文件不存在
opentelemetry-network,0,0,0,0
opentelemetry-php-instrumentation,0,0,0,0
opentherm_library,0,0,0,0
openthread,5,1,1,0
opentick,0,0,0,0
opentodolist,0,0,0,0
opentoonz,0,0,0,0
opentracing-cpp,文件不存在,文件不存在,文件不存在,文件不存在
opentrack,6,0,0,0
openturns,18,3,3,0
opentx,0,0,0,0
opentyrian,1,0,0,0
openvanilla,0,0,0,0
openvdb,4,0,0,0
openvino,24,4,4,1
openvino-plugins-ai-audacity,文件不存在,文件不存在,文件不存在,文件不存在
openvino.genai,2,0,0,0
openvino_contrib,0,0,0,0
openvino_tensorflow,文件不存在,文件不存在,文件不存在,文件不存在
openvkl,1,1,1,0
openvmi,文件不存在,文件不存在,文件不存在,文件不存在
openvpn,3,0,0,0
openvpn-auth-ldap,文件不存在,文件不存在,文件不存在,文件不存在
openvpn-client,文件不存在,文件不存在,文件不存在,文件不存在
openvpn-gui,0,0,0,0
openvpn-otp,0,0,0,0
openvpn3,6,0,0,0
openvpn3-linux,1,0,0,0
openvr,文件不存在,文件不存在,文件不存在,文件不存在
openvr_foveated,文件不存在,文件不存在,文件不存在,文件不存在
openvr_fsr,文件不存在,文件不存在,文件不存在,文件不存在
openvslam-comments,文件不存在,文件不存在,文件不存在,文件不存在
openvx-samples,文件不存在,文件不存在,文件不存在,文件不存在
openvx_tutorial,文件不存在,文件不存在,文件不存在,文件不存在
openweave-core,0,0,0,0
openwebrtc,4,0,0,0
openwifi,0,0,0,0
openwrt,11,6,6,2
openwrt-6.x,文件不存在,文件不存在,文件不存在,文件不存在
openwrt-dist-luci,文件不存在,文件不存在,文件不存在,文件不存在
openwrt-hc5x61,文件不存在,文件不存在,文件不存在,文件不存在
openwrt-package,文件不存在,文件不存在,文件不存在,文件不存在
openwrt-passwall-packages,文件不存在,文件不存在,文件不存在,文件不存在
openwrt-yun,文件不存在,文件不存在,文件不存在,文件不存在
openwrt_widora,0,0,0,0
openwsman,0,0,0,0
openwsn-fw,0,0,0,0
openxr-explorer,0,0,0,0
openxr-steamvr-passthrough,0,0,0,0
openzfs,0,0,0,0
operating-system,文件不存在,文件不存在,文件不存在,文件不存在
operating-system-in-1000-lines,文件不存在,文件不存在,文件不存在,文件不存在
operating-systems-three-easy-pieces,文件不存在,文件不存在,文件不存在,文件不存在
operators,0,0,0,0
operon,8,1,1,0
opm-simulators,19,1,1,0
opmsg,0,0,0,0
oppai-ng,0,0,0,0
ops,文件不存在,文件不存在,文件不存在,文件不存在
opt,文件不存在,文件不存在,文件不存在,文件不存在
optee_client,0,0,0,0
optee_examples,文件不存在,文件不存在,文件不存在,文件不存在
optee_fuzzer,文件不存在,文件不存在,文件不存在,文件不存在
optee_os,4,2,2,1
optiboot,0,0,0,0
optiga-trust-m,文件不存在,文件不存在,文件不存在,文件不存在
optim,文件不存在,文件不存在,文件不存在,文件不存在
optimized-routines,2,2,2,2
optimizer,0,0,0,0
optimus-manager-qt,0,0,0,0
optional,文件不存在,文件不存在,文件不存在,文件不存在
optional-lite,0,0,0,0
optionmatrix,文件不存在,文件不存在,文件不存在,文件不存在
optix-toolkit,1,0,0,0
optix7course,文件不存在,文件不存在,文件不存在,文件不存在
optix_advanced_samples,文件不存在,文件不存在,文件不存在,文件不存在
optolithium,文件不存在,文件不存在,文件不存在,文件不存在
optparse,文件不存在,文件不存在,文件不存在,文件不存在
opuntiaOS,0,0,0,0
opus,15,1,1,1
opus-tools,0,0,0,0
opusfile,0,0,0,0
oqs-provider,文件不存在,文件不存在,文件不存在,文件不存在
or-tools,10,0,0,0
oracle_fdw,2,0,0,0
orafce,文件不存在,文件不存在,文件不存在,文件不存在
orangecrab-examples,文件不存在,文件不存在,文件不存在,文件不存在
orb-slam2_with_semantic_label,文件不存在,文件不存在,文件不存在,文件不存在
orb_slam3_ros,文件不存在,文件不存在,文件不存在,文件不存在
orb_slam3_ros_wrapper,文件不存在,文件不存在,文件不存在,文件不存在
orb_slam_2_ros,文件不存在,文件不存在,文件不存在,文件不存在
orbit,6,2,2,0
orbital,文件不存在,文件不存在,文件不存在,文件不存在
orbiter,0,0,0,0
orbment,0,0,0,0
orbslam-map-saving-extension,文件不存在,文件不存在,文件不存在,文件不存在
orbslam-windows,文件不存在,文件不存在,文件不存在,文件不存在
orbuculum,0,0,0,0
orca,0,0,0,0
orca-one,文件不存在,文件不存在,文件不存在,文件不存在
orca4,文件不存在,文件不存在,文件不存在,文件不存在
order-pp,0,0,0,0
ordered-map,0,0,0,0
oregano,0,0,0,0
oreka,0,0,0,0
org.quietmodem.Quiet,文件不存在,文件不存在,文件不存在,文件不存在
original-bitcoin,文件不存在,文件不存在,文件不存在,文件不存在
orioledb,2,0,0,0
orion,0,0,0,0
ormpp,0,0,0,0
orocos-bayesian-filtering,0,0,0,0
orocos_kinematics_dynamics,0,0,0,0
ortclib-cpp,0,0,0,0
ortp,0,0,0,0
orx,4,0,0,0
oryol,0,0,0,0
os,0,0,0,0
os-tutorial,文件不存在,文件不存在,文件不存在,文件不存在
os161,0,0,0,0
osakaOS,文件不存在,文件不存在,文件不存在,文件不存在
osal,0,0,0,0
osara,0,0,0,0
osc10e,文件不存在,文件不存在,文件不存在,文件不存在
oscar64,2,1,1,1
osci-render,0,0,0,0
oscpp,1,0,0,0
osdev,文件不存在,文件不存在,文件不存在,文件不存在
osdialog,文件不存在,文件不存在,文件不存在,文件不存在
osfree,0,0,0,0
osgRecipes,文件不存在,文件不存在,文件不存在,文件不存在
osgearth,19,2,2,0
osgocean,文件不存在,文件不存在,文件不存在,文件不存在
osgoculusviewer,0,0,0,0
osgverse,0,0,0,0
oshu,0,0,0,0
osirix,1,0,0,0
ositools,0,0,0,0
osm,0,0,0,0
osm-gps-map,0,0,0,0
osm2pgrouting,0,0,0,0
osm2pgsql,8,2,2,0
osmanip,0,0,0,0
osmc,1,0,0,0
osmcoastline,文件不存在,文件不存在,文件不存在,文件不存在
osmium,1,0,0,0
osmium-tool,1,0,0,0
osmocom-bb,1,0,0,0
osmscout-server,0,0,0,0
osp-magnum,0,0,0,0
ospray,3,0,0,0
ospray-studio,1,0,0,0
osqp,1,0,0,0
osqp-cpp,文件不存在,文件不存在,文件不存在,文件不存在
osqp-eigen,文件不存在,文件不存在,文件不存在,文件不存在
osquery,4,2,2,0
osquery-extensions,0,0,0,0
osr2mp4-core,文件不存在,文件不存在,文件不存在,文件不存在
osre,0,0,0,0
osrm-backend,5,1,1,0
oss-sydr-fuzz,文件不存在,文件不存在,文件不存在,文件不存在
