repo_name,all_commit,one_file,c_language,is_opt_keyword,has_file,has_file_with_func,one_func,one_func_deduplicate,is_opt_llm,is_opt_final
monyhar-lite,2,2,1,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
moolib,41,19,13,1,1,1,1,1,1,1
moolticute,3083,1346,840,5,5,5,2,2,2,0
mooltipass,3915,1612,188,4,4,4,1,1,1,1
moon,1167,605,225,6,6,6,3,3,3,0
mooncake,232,79,28,1,1,1,1,1,1,1
moondeck-buddy,92,51,20,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
mooner,28,18,2,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
moongl,131,35,10,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
moonlight-android,3188,2048,17,1,1,1,0,文件不存在,文件不存在,文件不存在
moonlight-chrome,617,382,57,4,4,4,1,1,1,0
moonlight-common-c,1006,583,504,27,27,27,14,14,14,8
moonlight-embedded,760,454,295,13,13,13,8,8,8,3
moonlight-ios,1252,717,7,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
moonlight-nx,246,114,56,1,1,1,0,文件不存在,文件不存在,文件不存在
moonlight-qt,2823,1635,775,40,40,40,25,25,25,11
moonlight-tv,1930,769,302,14,14,14,5,5,5,0
moonlight-wiiu,790,458,298,13,13,13,8,8,文件不存在,文件不存在
moonlight-xbox,395,177,61,2,2,2,0,文件不存在,文件不存在,文件不存在
moonnuklear,57,28,8,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
moonplayer,517,229,50,1,1,1,1,1,1,0
moonray,414,208,74,3,3,3,3,3,3,1
